i	j	iLIS_best	iLIS_avg	ipTM_best	src
207	87	0.467	0.186	0.69	1
174	179	0.466	0.274	0.63	1
124	148	0.466	0.273	0.27	1
0	176	0.466	0.354	0.55	1
46	179	0.465	0.130	0.68	1
39	71	0.462	0.092	0.61	1
78	19	0.462	0.283	0.60	1
121	140	0.461	0.250	0.65	1
132	232	0.461	0.398	0.68	1
210	16	0.460	0.092	0.48	1
129	248	0.459	0.241	0.76	1
151	207	0.458	0.271	0.65	1
137	27	0.458	0.274	0.66	1
18	158	0.458	0.175	0.47	1
0	154	0.458	0.154	0.37	1
105	67	0.457	0.091	0.59	1
84	138	0.457	0.116	0.47	1
210	166	0.456	0.219	0.48	1
211	50	0.456	0.289	0.36	1
38	50	0.455	0.377	0.37	1
173	247	0.455	0.123	0.29	1
137	7	0.455	0.279	0.80	1
136	27	0.455	0.369	0.66	1
45	51	0.454	0.429	0.72	1
86	218	0.454	0.212	0.71	1
114	186	0.453	0.298	0.77	1
127	247	0.452	0.259	0.35	1
119	53	0.451	0.159	0.73	1
133	130	0.450	0.412	0.81	1
132	122	0.450	0.302	0.68	1
210	151	0.449	0.327	0.65	1
85	218	0.449	0.275	0.69	1
123	127	0.449	0.419	0.71	1
76	154	0.448	0.160	0.43	1
121	124	0.447	0.393	0.73	1
38	204	0.447	0.147	0.58	1
134	117	0.446	0.164	0.42	1
132	139	0.446	0.270	0.64	1
79	215	0.446	0.383	0.67	1
116	129	0.446	0.235	0.76	1
114	175	0.444	0.237	0.55	1
168	243	0.444	0.392	0.45	1
210	53	0.443	0.338	0.73	1
10	67	0.443	0.092	0.58	1
48	56	0.442	0.222	0.68	1
2	154	0.442	0.233	0.49	1
173	154	0.442	0.297	0.29	1
137	186	0.441	0.256	0.80	1
214	149	0.441	0.251	0.52	1
37	81	0.440	0.109	0.67	1
12	178	0.440	0.251	0.61	1
211	10	0.440	0.367	0.39	1
119	134	0.440	0.235	0.43	1
37	175	0.440	0.244	0.53	1
116	135	0.440	0.176	0.34	1
121	130	0.438	0.397	0.74	1
188	25	0.438	0.260	0.71	1
153	140	0.438	0.135	0.56	1
34	127	0.437	0.331	0.52	1
108	133	0.437	0.135	0.73	1
38	91	0.437	0.166	0.38	1
75	214	0.437	0.163	0.43	1
60	84	0.436	0.098	0.42	1
121	37	0.436	0.394	0.71	1
4	136	0.436	0.311	0.60	1
237	46	0.436	0.276	0.69	1
9	120	0.435	0.218	0.80	1
20	61	0.435	0.228	0.47	1
121	139	0.435	0.226	0.65	1
21	83	0.435	0.324	0.62	1
132	33	0.435	0.389	0.68	1
127	122	0.435	0.428	0.69	1
79	182	0.433	0.233	0.61	1
7	37	0.432	0.196	0.83	1
205	210	0.431	0.139	0.49	1
212	63	0.431	0.277	0.67	1
19	84	0.431	0.274	0.45	1
0	67	0.430	0.149	0.58	1
157	174	0.430	0.171	0.61	1
115	239	0.430	0.302	0.75	1
10	148	0.430	0.124	0.38	1
211	44	0.430	0.299	0.40	1
121	127	0.430	0.395	0.72	1
121	18	0.429	0.407	0.74	1
211	217	0.428	0.243	0.57	1
7	185	0.427	0.163	0.79	1
137	8	0.427	0.380	0.40	1
135	68	0.427	0.085	0.68	1
121	220	0.426	0.333	0.65	1
168	117	0.426	0.085	0.54	1
121	9	0.426	0.392	0.74	1
77	211	0.425	0.321	0.49	1
34	218	0.425	0.138	0.70	1
134	158	0.425	0.314	0.45	1
170	47	0.425	0.384	0.79	1
34	7	0.424	0.221	0.78	1
127	151	0.424	0.404	0.73	1
174	199	0.424	0.323	0.31	1
103	158	0.424	0.327	0.40	1
50	230	0.424	0.214	0.51	1
0	211	0.424	0.369	0.39	1
34	10	0.420	0.211	0.41	1
171	236	0.419	0.197	0.66	1
178	180	0.419	0.294	0.44	1
134	180	0.419	0.181	0.47	1
45	208	0.419	0.278	0.59	1
173	199	0.419	0.188	0.30	1
39	189	0.418	0.084	0.20	1
173	66	0.418	0.087	0.62	1
23	103	0.418	0.129	0.76	1
210	48	0.417	0.115	0.73	1
45	245	0.416	0.342	0.59	1
114	127	0.416	0.302	0.52	1
78	114	0.415	0.129	0.56	1
22	180	0.415	0.268	0.47	1
3	106	0.414	0.234	0.67	1
123	132	0.414	0.349	0.69	1
18	122	0.414	0.375	0.73	1
247	47	0.414	0.365	0.74	1
2	114	0.414	0.217	0.54	1
44	208	0.414	0.204	0.60	1
123	18	0.414	0.362	0.71	1
23	151	0.413	0.083	0.67	1
39	247	0.413	0.227	0.46	1
210	130	0.413	0.137	0.73	1
168	17	0.413	0.083	0.47	1
232	103	0.412	0.162	0.75	1
132	133	0.411	0.307	0.62	1
121	129	0.411	0.382	0.75	1
13	187	0.411	0.298	0.51	1
25	91	0.411	0.108	0.54	1
17	217	0.410	0.099	0.70	1
114	115	0.410	0.262	0.36	1
184	7	0.410	0.243	0.76	1
109	54	0.410	0.338	0.69	1
37	215	0.410	0.357	0.59	1
19	51	0.410	0.082	0.69	1
211	15	0.409	0.114	0.41	1
231	103	0.409	0.172	0.75	1
49	158	0.408	0.163	0.44	1
235	158	0.407	0.166	0.55	1
74	37	0.407	0.371	0.40	1
134	116	0.407	0.217	0.34	1
137	204	0.407	0.244	0.62	1
210	197	0.406	0.251	0.54	1
211	76	0.406	0.291	0.42	1
77	44	0.405	0.134	0.46	1
25	87	0.405	0.104	0.56	1
127	120	0.405	0.385	0.74	1
135	132	0.405	0.164	0.68	1
38	93	0.404	0.202	0.77	1
136	130	0.404	0.354	0.79	1
116	180	0.403	0.216	0.44	1
173	129	0.403	0.121	0.76	1
191	38	0.403	0.142	0.27	1
37	122	0.402	0.362	0.71	1
77	20	0.402	0.126	0.48	1
230	239	0.402	0.250	0.73	1
210	49	0.401	0.203	0.50	1
137	4	0.401	0.251	0.61	1
233	215	0.401	0.136	0.59	1
39	179	0.400	0.131	0.60	1
173	15	0.400	0.168	0.42	1
116	165	0.400	0.080	0.58	1
21	197	0.400	0.159	0.61	1
6	202	0.399	0.151	0.58	1
134	85	0.399	0.103	0.36	1
99	112	0.398	0.239	0.76	1
151	142	0.398	0.206	0.69	1
178	202	0.398	0.275	0.43	1
22	15	0.398	0.119	0.42	1
19	250	0.397	0.098	0.61	1
9	164	0.397	0.237	0.62	1
114	63	0.397	0.236	0.67	1
205	60	0.397	0.079	0.41	1
212	149	0.396	0.140	0.53	1
68	36	0.395	0.248	0.71	1
211	48	0.395	0.083	0.71	1
186	154	0.394	0.180	0.63	1
121	151	0.394	0.301	0.61	1
44	116	0.394	0.211	0.48	1
211	105	0.393	0.363	0.38	1
134	16	0.393	0.122	0.41	1
66	154	0.393	0.140	0.50	1
134	224	0.393	0.141	0.64	1
116	8	0.393	0.227	0.34	1
179	180	0.393	0.287	0.64	1
123	79	0.392	0.234	0.73	1
9	174	0.392	0.078	0.29	1
4	21	0.392	0.078	0.49	1
114	15	0.392	0.161	0.43	1
211	145	0.391	0.098	0.38	1
127	241	0.391	0.360	0.53	1
10	187	0.391	0.140	0.39	1
114	7	0.390	0.252	0.76	1
173	145	0.390	0.323	0.42	1
2	211	0.389	0.256	0.50	1
217	87	0.388	0.153	0.64	1
211	134	0.388	0.152	0.46	1
107	151	0.388	0.161	0.73	1
136	151	0.388	0.289	0.73	1
185	233	0.387	0.137	0.40	1
114	8	0.387	0.309	0.35	1
114	164	0.387	0.156	0.58	1
114	180	0.387	0.081	0.51	1
45	211	0.387	0.230	0.36	1
114	136	0.387	0.153	0.33	1
123	37	0.387	0.308	0.68	1
44	36	0.386	0.086	0.41	1
94	204	0.386	0.097	0.58	1
69	179	0.385	0.235	0.71	1
114	181	0.385	0.170	0.47	1
173	156	0.385	0.143	0.56	1
123	124	0.385	0.339	0.69	1
116	167	0.384	0.160	0.58	1
175	133	0.384	0.083	0.44	1
158	176	0.384	0.195	0.40	1
119	105	0.383	0.256	0.43	1
126	122	0.383	0.348	0.74	1
15	154	0.383	0.128	0.39	1
137	31	0.383	0.193	0.58	1
36	187	0.383	0.300	0.41	1
22	182	0.383	0.259	0.51	1
39	91	0.382	0.308	0.34	1
157	36	0.382	0.179	0.52	1
173	18	0.382	0.105	0.30	1
60	114	0.381	0.161	0.53	1
210	207	0.380	0.095	0.59	1
197	160	0.380	0.260	0.57	1
49	187	0.380	0.147	0.46	1
136	158	0.380	0.296	0.49	1
151	122	0.380	0.199	0.55	1
152	101	0.379	0.342	0.36	1
136	204	0.379	0.270	0.61	1
75	229	0.378	0.076	0.63	1
134	8	0.378	0.237	0.34	1
46	173	0.378	0.076	0.56	1
22	142	0.378	0.197	0.76	1
110	151	0.378	0.292	0.73	1
125	123	0.378	0.315	0.72	1
77	50	0.377	0.318	0.49	1
45	95	0.377	0.107	0.40	1
123	9	0.377	0.314	0.69	1
133	156	0.377	0.108	0.50	1
78	241	0.376	0.229	0.58	1
106	236	0.376	0.109	0.68	1
127	16	0.376	0.143	0.44	1
210	50	0.375	0.172	0.49	1
213	215	0.375	0.297	0.66	1
125	121	0.375	0.345	0.74	1
45	117	0.375	0.224	0.47	1
115	213	0.374	0.145	0.40	1
178	182	0.374	0.335	0.52	1
