i	j	iLIS_best	iLIS_avg	ipTM_best	src
76	79	0.297	0.075	0.46	1
107	74	0.297	0.099	0.41	1
81	156	0.297	0.272	0.59	1
137	98	0.297	0.104	0.68	1
16	50	0.297	0.172	0.39	1
137	151	0.297	0.243	0.67	1
116	7	0.296	0.187	0.72	1
71	79	0.296	0.059	0.56	1
39	7	0.296	0.133	0.62	1
234	121	0.295	0.114	0.71	1
127	164	0.295	0.195	0.54	1
114	157	0.295	0.062	0.46	1
79	179	0.295	0.217	0.60	1
125	241	0.295	0.122	0.49	1
243	92	0.295	0.167	0.47	1
114	156	0.294	0.094	0.44	1
78	36	0.294	0.059	0.55	1
135	203	0.294	0.199	0.41	1
79	187	0.294	0.059	0.41	1
134	103	0.293	0.244	0.49	1
234	41	0.293	0.173	0.45	1
173	165	0.293	0.116	0.56	1
78	124	0.292	0.201	0.45	1
39	133	0.292	0.068	0.50	1
207	187	0.292	0.105	0.53	1
94	240	0.292	0.081	0.52	1
151	140	0.292	0.151	0.61	1
132	240	0.292	0.190	0.57	1
76	173	0.291	0.058	0.43	1
50	235	0.291	0.157	0.69	1
32	182	0.291	0.132	0.48	1
197	38	0.291	0.191	0.43	1
190	93	0.291	0.123	0.57	1
135	180	0.291	0.201	0.43	1
44	9	0.291	0.142	0.35	1
184	185	0.291	0.212	0.63	1
34	186	0.291	0.163	0.64	1
14	19	0.290	0.114	0.29	1
44	148	0.290	0.131	0.30	1
178	83	0.290	0.229	0.49	1
180	27	0.290	0.096	0.50	1
116	157	0.290	0.151	0.48	1
116	156	0.290	0.195	0.45	1
121	219	0.290	0.060	0.54	1
22	187	0.290	0.076	0.37	1
75	126	0.290	0.118	0.45	1
116	74	0.290	0.247	0.33	1
22	117	0.289	0.205	0.46	1
151	154	0.289	0.211	0.56	1
157	138	0.289	0.151	0.48	1
13	183	0.289	0.091	0.47	1
69	233	0.288	0.058	0.61	1
211	132	0.288	0.102	0.47	1
102	167	0.288	0.058	0.62	1
114	32	0.287	0.157	0.45	1
76	150	0.287	0.057	0.58	1
127	170	0.286	0.160	0.50	1
19	112	0.286	0.177	0.56	1
34	44	0.286	0.183	0.33	1
137	132	0.286	0.059	0.59	1
43	74	0.285	0.146	0.42	1
7	10	0.285	0.132	0.70	1
188	210	0.285	0.057	0.36	1
135	214	0.285	0.163	0.36	1
18	208	0.284	0.164	0.48	1
94	232	0.284	0.058	0.45	1
208	169	0.284	0.196	0.55	1
0	221	0.284	0.255	0.63	1
105	8	0.284	0.139	0.34	1
135	103	0.284	0.194	0.55	1
215	220	0.283	0.127	0.47	1
105	190	0.283	0.256	0.33	1
45	138	0.283	0.170	0.41	1
157	83	0.283	0.191	0.52	1
18	165	0.282	0.153	0.62	1
77	218	0.282	0.080	0.65	1
184	173	0.282	0.160	0.28	1
39	88	0.282	0.132	0.30	1
210	167	0.282	0.160	0.62	1
6	232	0.282	0.059	0.56	1
15	117	0.282	0.140	0.37	1
7	124	0.281	0.071	0.67	1
145	180	0.281	0.056	0.40	1
119	156	0.281	0.136	0.47	1
56	52	0.281	0.056	0.68	1
8	51	0.281	0.247	0.32	1
44	241	0.280	0.061	0.33	1
165	117	0.280	0.156	0.54	1
39	186	0.280	0.148	0.59	1
211	127	0.280	0.080	0.37	1
50	220	0.280	0.208	0.52	1
128	208	0.280	0.056	0.50	1
203	156	0.280	0.219	0.38	1
76	92	0.280	0.056	0.50	1
2	134	0.280	0.093	0.44	1
137	236	0.280	0.108	0.60	1
34	187	0.279	0.089	0.36	1
134	27	0.279	0.232	0.54	1
42	122	0.279	0.063	0.60	1
109	52	0.279	0.166	0.57	1
232	35	0.279	0.108	0.19	1
37	167	0.279	0.137	0.56	1
249	215	0.279	0.108	0.52	1
114	202	0.278	0.056	0.47	1
114	183	0.278	0.062	0.41	1
209	182	0.278	0.102	0.48	1
158	177	0.278	0.166	0.30	1
17	88	0.278	0.056	0.40	1
42	27	0.277	0.099	0.43	1
2	235	0.277	0.064	0.36	1
76	118	0.277	0.206	0.45	1
123	129	0.277	0.242	0.64	1
128	122	0.277	0.159	0.63	1
76	218	0.277	0.170	0.64	1
114	236	0.277	0.064	0.40	1
230	158	0.276	0.142	0.40	1
38	218	0.276	0.106	0.62	1
125	166	0.276	0.055	0.58	1
114	213	0.276	0.168	0.38	1
117	27	0.276	0.167	0.49	1
157	115	0.276	0.206	0.45	1
127	37	0.276	0.170	0.42	1
97	84	0.276	0.120	0.41	1
34	203	0.275	0.178	0.42	1
38	87	0.275	0.055	0.33	1
171	180	0.275	0.104	0.46	1
39	217	0.275	0.182	0.58	1
2	4	0.275	0.056	0.47	1
39	244	0.275	0.075	0.56	1
127	142	0.275	0.258	0.58	1
103	179	0.274	0.210	0.52	1
116	15	0.274	0.153	0.40	1
22	116	0.274	0.107	0.50	1
245	86	0.273	0.087	0.60	1
43	187	0.273	0.151	0.47	1
168	156	0.273	0.135	0.44	1
116	218	0.273	0.055	0.58	1
62	100	0.273	0.120	0.35	1
21	133	0.273	0.107	0.22	1
10	97	0.273	0.112	0.34	1
49	218	0.273	0.210	0.60	1
38	103	0.272	0.171	0.63	1
125	164	0.272	0.126	0.50	1
162	31	0.272	0.113	0.55	1
137	179	0.272	0.143	0.57	1
165	177	0.272	0.056	0.45	1
8	79	0.272	0.222	0.35	1
22	45	0.272	0.061	0.31	1
44	159	0.272	0.101	0.46	1
34	134	0.272	0.180	0.37	1
19	63	0.272	0.151	0.50	1
74	117	0.271	0.183	0.33	1
79	31	0.271	0.134	0.54	1
21	109	0.271	0.153	0.45	1
38	31	0.271	0.077	0.46	1
174	59	0.271	0.147	0.54	1
0	37	0.271	0.166	0.32	1
191	244	0.271	0.127	0.58	1
25	86	0.270	0.054	0.53	1
49	94	0.270	0.086	0.48	1
60	143	0.270	0.077	0.48	1
133	224	0.270	0.096	0.51	1
92	208	0.270	0.215	0.49	1
114	167	0.270	0.073	0.54	1
45	9	0.270	0.147	0.34	1
239	117	0.270	0.087	0.63	1
207	91	0.270	0.109	0.60	1
134	166	0.269	0.066	0.49	1
75	36	0.269	0.206	0.33	1
112	129	0.269	0.130	0.63	1
36	59	0.269	0.183	0.57	1
105	97	0.269	0.067	0.32	1
7	127	0.268	0.189	0.65	1
22	134	0.268	0.181	0.42	1
45	241	0.268	0.109	0.32	1
136	179	0.268	0.143	0.57	1
123	213	0.268	0.084	0.61	1
45	36	0.268	0.157	0.37	1
0	138	0.268	0.106	0.40	1
114	154	0.268	0.195	0.29	1
50	133	0.268	0.150	0.54	1
123	151	0.267	0.138	0.56	1
231	35	0.267	0.092	0.18	1
135	138	0.267	0.143	0.39	1
211	199	0.267	0.207	0.30	1
200	91	0.267	0.053	0.38	1
135	157	0.267	0.199	0.50	1
191	19	0.267	0.097	0.30	1
102	189	0.267	0.053	0.56	1
137	135	0.266	0.115	0.34	1
135	179	0.266	0.142	0.55	1
219	79	0.266	0.113	0.52	1
138	160	0.266	0.058	0.64	1
134	145	0.266	0.191	0.39	1
44	117	0.265	0.112	0.51	1
166	171	0.265	0.098	0.50	1
21	50	0.265	0.094	0.31	1
119	16	0.265	0.156	0.40	1
44	124	0.265	0.109	0.36	1
134	79	0.264	0.082	0.40	1
22	9	0.264	0.138	0.30	1
161	236	0.264	0.095	0.53	1
127	213	0.264	0.254	0.39	1
53	103	0.264	0.117	0.55	1
125	9	0.264	0.145	0.45	1
135	27	0.264	0.209	0.53	1
117	156	0.263	0.130	0.41	1
34	189	0.263	0.069	0.54	1
78	118	0.263	0.099	0.54	1
234	125	0.263	0.112	0.39	1
153	144	0.262	0.052	0.50	1
153	139	0.262	0.084	0.46	1
0	97	0.262	0.158	0.37	1
213	240	0.262	0.090	0.32	1
44	19	0.262	0.055	0.37	1
135	145	0.261	0.194	0.39	1
226	156	0.261	0.141	0.46	1
3	66	0.261	0.161	0.41	1
34	145	0.261	0.075	0.39	1
135	175	0.261	0.187	0.43	1
10	50	0.261	0.162	0.39	1
80	240	0.261	0.085	0.64	1
34	45	0.260	0.139	0.33	1
22	44	0.260	0.052	0.32	1
45	136	0.260	0.078	0.33	1
44	76	0.259	0.100	0.30	1
0	22	0.259	0.205	0.36	1
132	50	0.259	0.220	0.59	1
33	158	0.259	0.196	0.41	1
168	147	0.259	0.062	0.47	1
56	179	0.259	0.064	0.62	1
103	186	0.259	0.159	0.60	1
10	189	0.258	0.095	0.58	1
108	208	0.258	0.083	0.38	1
77	173	0.258	0.078	0.42	1
234	189	0.258	0.116	0.55	1
134	157	0.257	0.180	0.50	1
158	117	0.257	0.200	0.43	1
136	217	0.257	0.126	0.63	1
39	203	0.257	0.095	0.40	1
105	145	0.257	0.149	0.39	1
59	198	0.257	0.078	0.56	1
132	175	0.257	0.067	0.53	1
185	207	0.257	0.057	0.39	1
219	124	0.257	0.219	0.55	1
151	120	0.257	0.222	0.60	1
238	74	0.256	0.104	0.42	1
137	217	0.256	0.099	0.64	1
134	138	0.256	0.084	0.39	1
127	145	0.256	0.168	0.34	1
175	158	0.256	0.162	0.37	1
78	208	0.255	0.100	0.51	1
35	151	0.255	0.051	0.56	1
45	76	0.254	0.126	0.28	1
44	135	0.254	0.095	0.39	1
118	98	0.254	0.051	0.45	1
226	157	0.254	0.142	0.50	1
22	151	0.254	0.150	0.64	1
127	93	0.253	0.097	0.54	1
9	219	0.253	0.212	0.57	1
44	134	0.253	0.069	0.38	1
205	138	0.252	0.159	0.41	1
127	242	0.252	0.165	0.38	1
207	196	0.252	0.057	0.42	1
114	203	0.252	0.131	0.41	1
145	202	0.252	0.108	0.61	1
198	187	0.252	0.101	0.51	1
181	182	0.252	0.089	0.46	1
145	213	0.252	0.133	0.39	1
127	63	0.251	0.199	0.58	1
234	45	0.251	0.126	0.39	1
145	158	0.251	0.074	0.39	1
115	230	0.251	0.138	0.40	1
157	81	0.251	0.209	0.55	1
38	203	0.251	0.090	0.40	1
44	112	0.251	0.180	0.39	1
19	47	0.251	0.156	0.68	1
207	85	0.250	0.111	0.53	1
243	134	0.250	0.122	0.40	1
125	167	0.250	0.071	0.59	1
44	130	0.250	0.187	0.56	1
203	189	0.250	0.052	0.52	1
223	115	0.250	0.094	0.39	1
39	87	0.249	0.128	0.28	1
25	94	0.249	0.122	0.47	1
211	96	0.249	0.207	0.30	1
249	51	0.249	0.050	0.56	1
37	32	0.249	0.165	0.41	1
44	245	0.249	0.124	0.50	1
193	37	0.248	0.050	0.54	1
203	140	0.248	0.097	0.50	1
244	50	0.248	0.239	0.61	1
3	171	0.248	0.061	0.60	1
77	124	0.248	0.162	0.43	1
174	239	0.248	0.098	0.71	1
105	127	0.248	0.050	0.45	1
212	126	0.247	0.066	0.40	1
44	129	0.247	0.069	0.64	1
174	166	0.247	0.054	0.47	1
247	129	0.247	0.140	0.58	1
185	245	0.247	0.049	0.37	1
8	20	0.247	0.049	0.41	1
213	236	0.246	0.072	0.53	1
41	97	0.246	0.049	0.44	1
207	36	0.246	0.107	0.49	1
50	194	0.246	0.202	0.36	1
171	32	0.246	0.154	0.44	1
134	202	0.246	0.177	0.45	1
134	153	0.246	0.049	0.52	1
171	36	0.246	0.096	0.37	1
134	179	0.245	0.200	0.54	1
145	239	0.245	0.049	0.61	1
138	156	0.245	0.148	0.43	1
39	204	0.245	0.057	0.47	1
150	70	0.245	0.049	0.50	1
121	202	0.245	0.118	0.59	1
206	122	0.245	0.153	0.27	1
123	139	0.245	0.049	0.56	1
77	154	0.245	0.136	0.34	1
167	177	0.245	0.054	0.40	1
145	207	0.244	0.081	0.38	1
50	101	0.244	0.191	0.35	1
33	66	0.244	0.132	0.50	1
50	81	0.244	0.124	0.54	1
0	145	0.244	0.066	0.33	1
9	251	0.244	0.126	0.37	1
243	94	0.244	0.123	0.50	1
178	199	0.243	0.163	0.32	1
131	245	0.243	0.134	0.51	1
2	151	0.243	0.049	0.60	1
22	76	0.243	0.123	0.42	1
234	149	0.243	0.069	0.39	1
157	18	0.243	0.068	0.51	1
60	36	0.242	0.048	0.45	1
39	27	0.242	0.095	0.48	1
22	135	0.242	0.090	0.41	1
78	221	0.242	0.192	0.45	1
211	3	0.242	0.154	0.29	1
150	240	0.242	0.056	0.53	1
34	164	0.242	0.208	0.43	1
119	157	0.242	0.177	0.48	1
123	164	0.242	0.180	0.54	1
34	70	0.242	0.057	0.55	1
136	94	0.242	0.099	0.57	1
240	139	0.241	0.090	0.52	1
20	36	0.241	0.156	0.28	1
136	175	0.241	0.185	0.48	1
151	202	0.241	0.048	0.62	1
57	224	0.240	0.053	0.56	1
39	31	0.240	0.135	0.44	1
123	219	0.240	0.190	0.46	1
125	127	0.240	0.199	0.45	1
71	16	0.240	0.048	0.49	1
150	50	0.240	0.145	0.56	1
0	7	0.240	0.143	0.67	1
114	59	0.239	0.072	0.60	1
221	105	0.239	0.098	0.58	1
219	175	0.239	0.083	0.50	1
38	58	0.239	0.153	0.57	1
134	136	0.239	0.132	0.44	1
213	199	0.239	0.073	0.40	1
171	220	0.239	0.048	0.44	1
18	156	0.238	0.075	0.45	1
44	132	0.238	0.096	0.51	1
39	89	0.238	0.130	0.31	1
60	74	0.237	0.081	0.33	1
157	48	0.237	0.109	0.54	1
76	49	0.237	0.056	0.42	1
39	218	0.237	0.112	0.57	1
131	49	0.237	0.104	0.46	1
60	50	0.237	0.097	0.48	1
243	51	0.237	0.047	0.57	1
223	84	0.237	0.051	0.29	1
77	223	0.236	0.066	0.30	1
127	149	0.236	0.118	0.38	1
125	165	0.236	0.058	0.59	1
79	241	0.236	0.118	0.38	1
3	20	0.236	0.193	0.39	1
0	148	0.236	0.059	0.34	1
190	200	0.235	0.090	0.41	1
210	214	0.235	0.047	0.40	1
34	182	0.235	0.174	0.46	1
208	63	0.235	0.047	0.36	1
215	236	0.235	0.089	0.44	1
77	178	0.235	0.152	0.36	1
167	117	0.235	0.150	0.51	1
10	251	0.235	0.047	0.34	1
75	208	0.234	0.047	0.39	1
5	226	0.234	0.047	0.35	1
135	15	0.234	0.167	0.39	1
144	187	0.234	0.121	0.45	1
45	129	0.234	0.096	0.46	1
206	36	0.234	0.107	0.36	1
38	182	0.234	0.104	0.44	1
234	127	0.233	0.084	0.43	1
38	86	0.233	0.047	0.34	1
7	173	0.233	0.072	0.55	1
195	61	0.233	0.103	0.47	1
116	145	0.232	0.137	0.38	1
165	156	0.232	0.154	0.50	1
90	33	0.232	0.108	0.39	1
102	165	0.232	0.050	0.53	1
114	244	0.232	0.112	0.54	1
132	68	0.232	0.066	0.64	1
211	236	0.232	0.182	0.34	1
131	50	0.232	0.143	0.46	1
7	139	0.231	0.127	0.68	1
167	156	0.231	0.121	0.47	1
116	27	0.231	0.154	0.47	1
17	141	0.231	0.077	0.35	1
237	156	0.231	0.170	0.43	1
9	229	0.231	0.133	0.55	1
138	189	0.231	0.074	0.42	1
127	219	0.231	0.213	0.50	1
45	130	0.230	0.168	0.55	1
131	31	0.230	0.122	0.46	1
127	138	0.230	0.111	0.34	1
119	151	0.230	0.059	0.56	1
69	16	0.229	0.046	0.53	1
38	115	0.229	0.058	0.26	1
170	98	0.229	0.051	0.49	1
10	186	0.229	0.085	0.60	1
219	133	0.229	0.046	0.52	1
174	156	0.229	0.158	0.47	1
62	173	0.229	0.046	0.48	1
211	37	0.229	0.052	0.24	1
212	27	0.229	0.046	0.49	1
44	151	0.229	0.072	0.51	1
125	212	0.228	0.076	0.37	1
76	141	0.228	0.047	0.38	1
221	56	0.228	0.061	0.45	1
191	162	0.228	0.065	0.63	1
193	132	0.227	0.149	0.47	1
131	159	0.227	0.045	0.47	1
127	140	0.227	0.107	0.48	1
125	124	0.227	0.091	0.42	1
119	71	0.227	0.125	0.34	1
171	167	0.227	0.045	0.55	1
128	149	0.227	0.093	0.36	1
9	206	0.227	0.140	0.37	1
68	164	0.227	0.116	0.49	1
250	111	0.226	0.045	0.43	1
5	208	0.226	0.073	0.50	1
135	176	0.226	0.045	0.31	1
80	36	0.226	0.045	0.58	1
43	164	0.226	0.085	0.43	1
136	203	0.225	0.117	0.43	1
182	73	0.225	0.105	0.52	1
150	117	0.225	0.074	0.59	1
166	156	0.225	0.166	0.45	1
37	179	0.225	0.128	0.52	1
131	19	0.225	0.152	0.46	1
226	15	0.225	0.047	0.45	1
210	200	0.224	0.176	0.43	1
45	233	0.224	0.096	0.33	1
211	177	0.224	0.112	0.24	1
11	247	0.224	0.107	0.37	1
72	37	0.223	0.139	0.47	1
38	202	0.223	0.076	0.43	1
